# Twilight Imperium Faction Board Abilities and Timing Map

## Executive Summary

This report catalogs the **faction-ability text printed on faction sheets/player boards** for the full currently known Twilight Imperium Fourth Edition lineup in scope here: the **17 base-game factions**, the **7 Prophecy of Kings factions**, **The Council Keleres** from **Codex III**, and the **5 Thunder’s Edge factions**. That yields **30 playable factions**, but the table contains **31 board states** because **The Firmament** and **The Obsidian** are distinct face states of the same Thunder’s Edge faction concept, and it contains **75 rows** because each separate printed board ability is mapped individually. Fantasy Flight’s product page still describes the base game as having seventeen factions; Prophecy of Kings adds seven faction sheets; Council Keleres was introduced as the 25th faction in Codex III; and Thunder’s Edge adds five more, bringing the total roster to 30. citeturn1search5turn0search1turn22search9turn5view0

The key versioning result is narrow but important: in the sources I could verify, the **only confirmed faction-sheet ability replacements** were for **Council Keleres** in **Thunder’s Edge**, which revised **The Tribunii** and **Law’s Order**. I did **not** locate any other confirmed Codex/Ω replacement of a faction-sheet ability panel for the base-game or PoK factions in the accessible sources; for those rows I therefore treat the board abilities as unchanged. That conclusion is strongest as a **secondary-source result** because it depends on the TI Wiki’s Omega/version-tracking index rather than a fully accessible official errata PDF enumerating faction-sheet-only replacements. citeturn19view0turn17view0turn22search8

For timing, I mapped every ability to the official phase/step structure in the **Living Rules Reference**: **Action Phase**, **Tactical Action** steps (**Activation**, **Movement**, **Space Combat**, **Invasion**, **Production**), **Status Phase** steps, **Strategy Phase**, and **Agenda Phase**. I also applied the rules-reference timing hierarchy for **“when,” “after,” “at the start,”** and persistent/perpetual faction-sheet effects. citeturn14view1turn14view2turn14view3turn14view4turn14view5turn14view6turn23view3turn23view4turn15view0turn22search7

The limitations are mostly source-access limitations, not rules gaps. For the **Thunder’s Edge factions**, exact current board text was recoverable directly from official Fantasy Flight faction-sheet images. For most **base-game**, **PoK**, and **Codex III Keleres** sheets, I did **not** find an equally complete official web image set with machine-readable text, so those rows rely on **secondary transcriptions** from the Twilight Imperium Wiki, flagged as such in the tables. No faction was wholly missing, so nothing is marked “unspecified” at faction level, but some **official-image availability** is unspecified for older sheets. citeturn7view0turn7view2turn7view3turn8view0turn8view1turn7view4turn4view0turn3view0

## Methodology

I prioritized sources in this order: **official Fantasy Flight rulebooks and rules references**, official **Fantasy Flight news/preview pages** that contained faction-sheet images or explicit component/version statements, then **secondary** community sources only where official text was not practically accessible. The official rules sources used for timing were the **PoK Living Rules Reference** and the official product/rule pages for **Twilight Imperium**, **Prophecy of Kings**, **Codex III**, and **Thunder’s Edge**. For timing interpretation, I relied especially on the rules-reference treatment of faction-sheet abilities, component actions, persistent effects, and “when/after/start” timing windows. citeturn22search7turn14view7turn15view0turn1search5turn12search0turn1search2

I treated **the most recent official print** as primary where variant text existed. In practice, that mattered for **Council Keleres**, where the accessible Omega index records Thunder’s Edge revisions to **The Tribunii** and **Law’s Order**; both the older and current texts are listed below. For the rest of the roster, I did not locate a confirmed faction-sheet text replacement in the accessible sources, so I marked them unchanged. citeturn19view0turn17view0

I also applied one necessary scope assumption: I **excluded faction-specific unit abilities printed elsewhere on the faction sheet**—for example flagship, mech, war sun, or space dock text—because the request asked for **faction-specific abilities that appear on faction player boards**, and the stronger, cleaner interpretation in TI4 rules language is the **faction ability panel**, not every non-card text box printed on the sheet. Where a single faction-sheet ability contains multiple timing clauses, I kept it as **one row** and listed **multiple phases/steps** in the same row.

If this had been done fully live from scratch, including source collection, image annotation, timing reconciliation, and CSV generation, the estimated completion time would have been **about 90–120 minutes**.

```mermaid
timeline
    title Research workflow
    Official rules baseline : Gather base Rules Reference and PoK Living Rules Reference
    Faction text collection : Collect faction-sheet texts from official FFG images where available
    Secondary recovery : Use TI Wiki transcriptions for older sheets and Codex III sheet text
    Version audit : Check Omega/version-tracking sources for sheet-text replacements
    Timing mapping : Map each trigger to official phase and step names
    Deliverables : Build markdown tables, annotated images, and CSV
```

## Decision Framework

The rules reference says faction-sheet abilities are abilities on a faction sheet, and some of them are perpetual effects. I used that, plus the trigger words on the printed ability text, to decide whether a line belonged in this report and where it sits in the turn structure. citeturn22search7turn15view2

```mermaid
flowchart TD
    A[Text appears on a faction sheet] --> B{Is it in the faction-ability panel?}
    B -->|Yes| C[Include in this report]
    B -->|No| D{Is it unit, tech, promissory, leader, or other component text?}
    D -->|Yes| E[Exclude as not a faction-sheet ability]
    D -->|No| F[Review case-by-case]
    A -->|No| G[Exclude as card-based or external text]
```

A timing note that applies across the whole dataset: if the ability text says **“Action”**, it is a **component action** in the **Action Phase**; if it says **“when”**, it resolves at the event itself; if it says **“after”**, it resolves immediately after the event; if it has no trigger and instead changes a rule continuously, I treated it as a **persistent/perpetual effect**. citeturn14view7turn15view0turn22search7

## Annotated Player Boards

Official web-accessible faction-sheet images were readily available for the **Thunder’s Edge** factions, so those are the only boards I could annotate directly from primary sources in a consistent way. I did **not** locate a similarly complete official web image set for the base-game factions, the PoK factions, or Council Keleres, so those older sheets are represented in the tables through secondary transcriptions instead. The image below marks the **faction-ability panel** on each official Thunder’s Edge sheet image. citeturn7view0turn7view2turn7view3turn8view0turn8view1turn7view4

![Annotated Thunder's Edge faction-sheet ability panels](sandbox:/mnt/data/te_faction_sheets_annotated_grid.png)

Annotated image download: [PNG](sandbox:/mnt/data/te_faction_sheets_annotated_grid.png)

## Comprehensive Tables

The tables below use the official phase vocabulary from the Living Rules Reference. Tactical-action substeps are those named in the quick reference and the glossary: **Activation**, **Movement**, **Space Combat**, **Invasion**, and **Production**; status-phase step names follow the reference’s status-phase sequence. citeturn14view1turn14view2turn14view3turn14view4turn14view5turn14view6turn23view3turn23view4

### Base Game

| Faction                     | Ability text (quoted)                                                                                                                                                                                                                                            | Source label                                                            | Changed by                                                                                                            | Phase/Step                                                                    | Timing note                                                            |
|:----------------------------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:------------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------|:------------------------------------------------------------------------------|:-----------------------------------------------------------------------|
| The Arborec                 | Your space docks cannot produce infantry. At the start of the status phase, place 1 infantry from your reinforcements on any planet you control.                                                                                                                 | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Persistent production restriction; Status Phase start                         | Static production restriction plus start-of-status infantry placement. |
| The Barony of Letnev        | At the start of each round of space combat, you may spend 2 trade goods; you may re-roll any number of your dice during that combat round.                                                                                                                       | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Action Phase > Tactical Action > Space Combat > start of each round           | Start-of-round combat trigger; reroll permission lasts for that round. |
| The Barony of Letnev        | The maximum number of non-fighter ships you can have in each system is equal to 2 more than the number of tokens in your fleet pool.                                                                                                                             | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Persistent fleet-limit modifier                                               | Continuous rules modification checked whenever fleet supply matters.   |
| The Clan of Saar            | After you gain control of a planet, gain 1 trade good.                                                                                                                                                                                                           | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Any phase > immediately after gaining control of a planet                     | Immediate after-trigger, most often on Establish Control.              |
| The Clan of Saar            | You can score objectives even if you do not control the planets in your home system.                                                                                                                                                                             | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Persistent scoring modifier                                                   | Static exception to normal home-system scoring checks.                 |
| The Embers of Muaat         | ACTION: Spend 1 token from your strategy pool to place either 2 fighters or 1 destroyer from your reinforcements in a system that contains 1 or more of your war suns.                                                                                           | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Action Phase > Component Action                                               | Action ability; must be used as a component action on your turn.       |
| The Embers of Muaat         | Your ships can move through supernovas.                                                                                                                                                                                                                          | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Action Phase > Tactical Action > Movement; any other movement effect          | Persistent movement exception.                                         |
| The Emirates of Hacan       | You do not have to spend a command token to resolve the secondary ability of the Trade strategy card.                                                                                                                                                            | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Action Phase > Strategic Action > Trade secondary                             | Static modification of Trade secondary cost.                           |
| The Emirates of Hacan       | You can negotiate transactions with players who are not your neighbor.                                                                                                                                                                                           | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Persistent transaction rule                                                   | Static exception to normal neighbor requirement.                       |
| The Emirates of Hacan       | When you are negotiating a transaction, action cards can be exchanged as part of that transaction.                                                                                                                                                               | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Persistent transaction rule                                                   | Expands legal transaction contents.                                    |
| The Federation of Sol       | ACTION: Spend 1 token from your strategy pool to place 2 infantry from your reinforcements on 1 planet you control.                                                                                                                                             | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Action Phase > Component Action                                               | Action ability on your turn.                                           |
| The Federation of Sol       | When you gain command tokens during the status phase, gain 1 additional command token.                                                                                                                                                                           | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Status Phase > Step 5 Gain and Redistribute Command Tokens                    | Modifies the normal token gain step.                                   |
| The Ghosts of Creuss        | You treat all systems that contain either an alpha or beta wormhole as adjacent to each other. Game effects cannot prevent you from using this ability.                                                                                                         | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Persistent adjacency modifier                                                 | Continuous change to adjacency and wormhole usage.                     |
| The Ghosts of Creuss        | During your tactical actions, apply +1 to the move value of each of your ships that starts its movement in your home system or in a system that contains either an alpha or beta wormhole.                                                                      | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Action Phase > Tactical Action > Movement                                     | Move-value bonus only during your tactical-action movement.            |
| The Ghosts of Creuss        | When you create the game board, place the Creuss Gate where your home system would normally be placed. The Creuss Gate system is not a home system. Then, place your home system in your play area.                                                            | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Setup > Create Game Board                                                     | Setup-only map creation rule.                                          |
| The L1Z1X Mindnet           | When you gain control of a planet, replace each PDS and space dock that is on that planet with a matching unit from your reinforcements.                                                                                                                        | Secondary TI Wiki transcription (base faction sheets) citeturn4view0 | No board-ability Ω replacement located in accessible Omega index; treated as unchanged citeturn17view0turn19view0 | Any phase > on gaining control of a planet                                    | Immediate control-change replacement effect.                           |
