# Twilight Imperium Fourth Edition Phase-Mapped Card Catalogue

## Executive summary

This report maps the **phase-relevant card ecosystem** of *Twilight Imperium Fourth Edition* across the **Base Game**, **Prophecy of Kings**, **Codex Volumes I–IV**, and **Thunder’s Edge**, with special attention to **replacement logic** and **Omega versions**. The core pattern is stable: the base game establishes the eight strategy cards, public/basic technologies, faction technologies, promissory notes, and the original action-card timing windows; *Prophecy of Kings* adds leaders, legendary planets, more technologies and promissory notes, and revises the **Diplomacy** and **Construction** strategy cards; the Codices introduce **Omega / replacement** content and new factions; and *Thunder’s Edge* further expands the card pool while also replacing some earlier materials again, including strategy-card and technology updates. citeturn7view0turn24search3turn19search0turn24search8turn24search0

Two practical conclusions matter most for rules work. First, **phase mapping is best done by timing window**, not by component category: most relevant cards hook into one of these windows—**strategy selection**, **strategic action**, **activation**, **movement**, **space cannon offense**, **start of combat round**, **after rolls**, **invasion substeps**, **production**, **status start/end**, and **agenda reveal/vote/outcome**. Second, **version control matters**: if you are using all current official material, you should treat **PoK Diplomacy/Construction**, **Codex Omega cards**, **Codex III leader Omegas**, and the **Thunder’s Edge updates** as the live versions where they replace older cards. citeturn20view0turn20view1turn21view0turn21view1turn19search1turn35view0turn24search0

For source quality, I prioritized **Fantasy Flight / official rules PDFs and product-document pages** for set identity, phase structure, and replacement statements. I used **Twilight Imperium Wiki** and, where helpful, **TI Rules** and **TI4 Kiosk** as secondary catalogues for card-level text summaries, Omega markings, and phase tagging, because the official sources do not provide one single parsed, machine-readable database for every card across all sets. Where a card’s latest text is only clearly exposed in secondary catalogues, I flag that explicitly. citeturn9view0turn24search3turn24search8turn19search0turn19search1turn12search0turn11search6

## Scope and source model

The official rules reference defines the four main phases—**Strategy, Action, Status, Agenda**—and the tactical-action substructure used during the Action Phase. In particular, the rules identify **movement**, **space cannon offense**, **invasion**, **bombardment**, **commit ground forces**, **space cannon defense**, **ground combat**, and **production** as distinct timing steps or related windows. Those are the anchors used in the phase tags throughout this report. citeturn20view0turn20view1turn20view4turn20view5turn21view0turn21view1

The base rules also establish that players begin with faction technologies and promissory notes, and that promissory notes themselves are timing-text components. *Prophecy of Kings* then adds **leaders**, **24 promissory notes**, **128 technology cards**, **40 planet cards**, and **4 legendary planet ability cards**, while also revising **Diplomacy** and **Construction** and instructing players to integrate the new components into the base game. citeturn9view0turn21view2turn4view0turn7view0turn7view1

For version control, the community-maintained **Version Tracking** and **Omegas** catalogues are especially useful because they summarize the official Omega convention: **Ω** marks an updated card, and the updated card **replaces** the earlier printing of the same name/type. Those secondary catalogues also track later **ΩΩ** styling where Thunder’s Edge or later Codices supersede earlier Omega revisions. I treat those pages as secondary but highly useful indexing tools, cross-checked against the official Codex and Thunder’s Edge document archive. citeturn19search1turn19search0turn24search3turn24search0

## Version and replacement framework

The table below is the practical replacement map for live rules work.

| Component family | Original live set | Later official replacement path | Current live guidance |
|---|---|---|---|
| **Diplomacy** strategy card | Base | PoK revised version; also indexed as **Diplomacy Ω** in later all-expansions catalogues | Use the **PoK/Codex-indexed Diplomacy Ω** version in full-expansion play |
| **Construction** strategy card | Base | PoK **Construction Ω**; then TE **Construction ΩΩ** | Use the **Thunder’s Edge** Construction when TE is in use |
| **Warfare** strategy card | Base | TE **Warfare Ω** | Use the **Thunder’s Edge** Warfare when TE is in use |
| **Magen Defense Grid** | Base | Codex I **Ω**; later updated again in later official products / TE replacement context | Use the latest official version present in your card set; TE explicitly instructs replacement of earlier copies |
| **X-89 Bacterial Weapon** | Base | Codex I **Ω**; Codex IV **ΩΩ**; TE also instructs replacement of earlier copies | Use the latest official version present in your card set |
| **Wormhole Generator** | Base | Codex I **Ω** | Use **Ω** |
| **Yin Spinner** | Base | Codex I **Ω** | Use **Ω** |
| **Magmus Reactor** | Base | Codex I **Ω** | Use **Ω** |
| **Stymie / War Funding / Cybernetic Enhancements / Acquiescence / Greyfire Mutagen** promissory notes | Base | Codex I **Ω** promissory replacements | Use **Ω** versions |
| **Naalu leaders** | PoK | Codex III **Ω** agent/commander adjustments | Use **Codex III Ω** versions |
| **Yin leaders** | PoK | Codex III **Ω** full leader pass | Use **Codex III Ω** versions |
| **Xxcha hero** | PoK | Codex III **Ω** hero rework | Use **Codex III Ω** version |
| **Council Keleres I.I.H.Q. Modernization** | Codex III faction tech | TE moves it to a **Breakthrough** according to the faction-tech catalogue | Treat the TE state as superseding Codex III when TE is in use |

These replacement relationships are directly supported by the official PoK integration instructions, the official FFG document archive listing all Codices and TE support files, the TE rulebook snippets that describe replacement of earlier tech copies, and the secondary strategy/Omega/faction-tech catalogues that track which version is current in all-expansion play. citeturn7view0turn24search3turn24search0turn19search0turn35view0turn31view2

The most important version caveat is that *Thunder’s Edge* is not just additive. The official rulebook snippet states that, if you have previous versions, you replace card sets including **eight copies each of Magen Defense Grid and X-89 Bacterial Weapon**, and the strategy-card catalogue shows **Construction ΩΩ** and **Warfare Ω** in full-expansion play. That means any database that mixes base, Codex I, Codex IV, and Thunder’s Edge tech texts without version tagging will produce false timing calls. citeturn24search0turn35view0turn35view1turn35view3

## Phase map used in this catalogue

```mermaid
flowchart LR
    SP[Strategy Phase]
    AP[Action Phase]
    ST[Status Phase]
    AG[Agenda Phase]

    SP --> AP
    AP --> TA[Tactical Action]
    AP --> SA[Strategic Action]
    AP --> CA[Component Action]
    AP --> PASS[Pass]

    TA --> ACT[Activation]
    ACT --> MOV[Movement]
    MOV --> SCO[Space Cannon Offense]
    SCO --> SC[Space Combat]
    SC --> INV[Invasion]
    INV --> BOMB[Bombardment]
    INV --> CGF[Commit Ground Forces]
    INV --> SCD[Space Cannon Defense]
    INV --> GC[Ground Combat]
    INV --> EC[Establish Control]
    INV --> PROD[Production]

    AP --> ST
    ST --> AG
```

This map follows the official rules reference entries for **Strategy Phase**, **Action Phase**, **Strategic Action**, **Movement**, **Space Cannon**, and **Invasion**. It is the basis for all phase tags below: **Strategy**, **Action**, **Activation**, **Movement**, **Space Cannon Offense**, **Space Combat**, **Invasion**, **Bombardment**, **Commit Ground Forces**, **Space Cannon Defense**, **Ground Combat**, **Production**, **Status**, **Agenda**, and a catch-all **Persistent / multi-phase** tag for cards that continuously modify one or more windows rather than triggering at a single printed step. citeturn20view0turn20view1turn20view4turn20view5turn21view0turn21view1turn21view3

## Card catalogues

### Strategy cards and officially replaced versions

The strategy-card pool is small enough to catalogue cleanly. The main version-sensitive cards are **Diplomacy**, **Construction**, and **Warfare**; the others remain functionally stable in the all-expansions catalogues. citeturn35view0turn35view1turn35view2turn35view3

| Card | Type | Source set | Version tag | Replaces / replaced by | Main phase window | Effect summary | Notes |
|---|---|---:|---|---|---|---|---|
| Leadership | Strategy | Base | Original | — | Strategy; Strategic Action | Gains command tokens; others may buy command tokens | Stable across current catalogues |
| Diplomacy | Strategy | Base | Deprecated in full-expansion play | Replaced by **Diplomacy Ω** | Strategy; Strategic Action | Readies / protects a system depending on version set | Use PoK/Codex-indexed live version |
| Politics | Strategy | Base | Original | — | Strategy; Strategic Action; Agenda setup | Speaker manipulation, action cards, agenda control | Stable |
| Construction | Strategy | Base | Deprecated | Replaced by **Construction Ω**, then **Construction ΩΩ** | Strategy; Strategic Action | Structure placement and PDS/space-dock development | TE version is live when TE is used |
| Trade | Strategy | Base | Original | — | Strategy; Strategic Action | Replenishes commodities, unlocks transactions | Stable |
| Warfare | Strategy | Base | Deprecated in TE | Replaced by **Warfare Ω** in TE | Strategy; Strategic Action | Token removal / fleet redeployment logic | Use TE version when TE is used |
| Technology | Strategy | Base | Original | — | Strategy; Strategic Action | Research window for primary and secondary users | Stable |
| Imperial | Strategy | Base | Original | — | Strategy; Strategic Action; Status/score tempo | Public objective reveal / VP acceleration | Stable |

The strategy-card catalogue also explicitly documents card and effect interactions that can interrupt or modify the Strategy Phase, including **Political Stability**, **Public Disgrace**, **Manipulate Investments**, and the base-vs-PoK difference on **Acquiescence**. That matters because some “phase-affecting cards” are not strategy cards themselves, but exist precisely to alter strategy-card timing. citeturn35view4

### Technology cards

The technology tables below use **authoritative summaries**, not full verbatim text, to stay readable. I include the set, color, version, faction if applicable, major timing window, and the most important phase/substep hook. Public/basic techs are listed individually; faction techs are grouped by faction; unit upgrades are listed only where the text does more than simply change a statline. Source identity and Omega status come from the relevant technology catalogue pages. citeturn17view0turn17view1turn17view3turn17view4turn17view5turn17view6turn17view7turn32view0turn31view0turn31view1turn31view2turn31view3

#### Public and general technologies

| Card | Color | Set | Version | Faction | Phase / substep | Effect summary | Notes |
|---|---|---|---|---|---|---|---|
| Neural Motivator | Green | Base | Original | Neutral | Status | Draw 2 action cards instead of 1 during Status | Action-card economy engine |
| Dacxive Animators | Green | Base | Original | Neutral | Ground Combat / Establish Control | After winning ground combat, place infantry | Planet-capture extender |
| Hyper Metabolism | Green | Base | Original | Neutral | Status | Gain 3 command tokens instead of 2 | Status-only tempo boost |
| X-89 Bacterial Weapon | Green | Base | Deprecated | Neutral | Bombardment / Invasion | Exhaust-action original version to wipe infantry on a bombarded planet | Superseded by Ω / ΩΩ |
| X-89 Bacterial Weapon Ω | Green | Codex I | Replacement | Neutral | Bombardment / Invasion | If bombardment kills at least one infantry, may wipe the rest | Codex replacement |
| X-89 Bacterial Weapon ΩΩ | Green | Codex IV | Replacement | Neutral | Bombardment / Invasion | Latest later-official version; use newest printed official text in live sets | TE also references replacement context |
| Psychoarchaeology | Green | PoK | Original | Neutral | Action; Technology spending | Tech specialties can be used without exhausting; Action-Phase exhaust-for-trade-good rider | Strong multi-phase economy card |
| Bio-Stims | Green | PoK | Original | Neutral | End of turn | Ready a tech-specialty planet or another technology | End-of-turn refresh timing |
| Antimass Deflectors | Blue | Base | Original | Neutral | Movement; Space Cannon Offense | Move through asteroid fields; enemy space cannon vs your units gets -1 | Persistent movement/combat modifier |
| Gravity Drive | Blue | Base | Original | Neutral | Activation / Movement | +1 move to one ship during a tactical action | Core movement tech |
| Fleet Logistics | Blue | Base | Original | Neutral | Action Phase | Perform 2 actions on your turns instead of 1 | Changes turn structure |
| Light/Wave Deflector | Blue | Base | Original | Neutral | Movement | Move through systems containing other players’ ships | Persistent movement override |
| Dark Energy Tap | Blue | PoK | Original | Neutral | Action / Frontier / Retreat space | Frontier exploration / retreat flexibility | PoK blue-tech addition referenced in PoK materials |
| Sling Relay | Blue | PoK | Original | Neutral | Action; Production | Exhaust to produce a ship in any system with production | Component-action production effect |
| Scanlink Drone Network | Yellow | PoK | Original | Neutral | Activation / Explore | After activating a system, explore one planet you control there | Exploration timing hook |
| Sarween Tools | Yellow | Base | Original | Neutral | Production | Reduce produced units’ cost by 1 | Persistent production modifier |
| Graviton Laser System | Yellow | Base | Original | Neutral | Space Cannon Offense / Defense | Exhaust before space cannon to force hits onto non-fighters if able | Step-specific targeting override |
| Transit Diodes | Yellow | Base | Original | Neutral | Start of turn | Rebase up to 4 ground forces among your planets | Start-of-turn logistics |
| Integrated Economy | Yellow | Base | Original | Neutral | Establish Control / Production | On planet capture, immediately produce there | Invasion-to-production bridge |
| Predictive Intelligence | Yellow | PoK | Original | Neutral | Action / Status / token economy | Pool-shifting and command-token efficiency | Multi-phase command-sheet support |
| Plasma Scoring | Red | Base | Original | Neutral | Bombardment; Space Cannon | One bombardment/space-cannon die gets +1 extra die | Core substep amplifier |
| Magen Defense Grid | Red | Base | Deprecated | Neutral | Start of Ground Combat | Original “lock out enemy combat rolls” if you have planetary shield | Superseded by Ω / later replacements |
| Magen Defense Grid Ω | Red | Codex I | Replacement | Neutral | Invasion / Ground Combat | Later official update to soften and rebalance original | Use latest official replacement |
| Duranium Armor | Red | Base | Original | Neutral | Space Combat / Ground Combat rounds | Repairs one sustain-damaged unit if not damaged again in round | End-of-round sustain tool |
| Assault Cannon | Red | Base | Original | Neutral | Start of Space Combat | If large enough fleet, destroy an opponent ship before combat | One of the cleanest substep hooks |
| AI Development Algorithm | Red | PoK | Original | Neutral | Technology; Production | Helps research unit upgrades / reduce production by upgrade count | Mid-tech and production bridge |
| Self-Assembly Routines | Red | PoK | Original | Neutral | Production; unit destruction | After production, place mech; after mech dies, gain trade good | Multi-window mech economy |

#### Faction technologies

| Faction | Card | Color | Set | Version | Phase / substep | Effect summary | Notes |
|---|---|---|---|---|---|---|---|
| Arborec | Bioplasmosis | Green | Base | Original | End of Status | Reposition infantry among same/adjacent systems | Status logistics |
| Letnev | L4 Disruptors | Yellow | Base | Original | Invasion / Space Cannon Defense | Opponent cannot use space cannon against your invading units | Clean invasion tech |
| Letnev | Non-Euclidean Shielding | Red | Base | Original | Sustain Damage | Each sustain cancels 2 hits | Persistent combat modifier |
| Saar | Chaos Mapping | Blue | Base | Original | Start of turn; asteroid activation | Protected asteroid systems plus start-of-turn production | Strong action-phase hook |
| Muaat | Magmus Reactor | Red | Base | Deprecated | Movement; Production | Supernova movement plus TG near war suns/supernovas | Replaced by Ω |
| Muaat | Magmus Reactor Ω | Red | Codex I | Replacement | Movement; Production | Supernovas with your units gain PRODUCTION 5 | Live replacement |
| Hacan | Production Biomes | Green | Base | Original | Component Action | Spend strategy token to gain TGs and fund another player | Economy action |
