# Twilight Imperium Card Ability Timing Report

## Executive summary

This report analyzes **Twilight Imperium Fourth Edition with Prophecy of Kings**, and it treats the **Living Rules Reference + FAQ** as the primary authority, because the Rules Reference explicitly overrides the Learn to Play book when they conflict. It also applies the core card-precedence rule: **if a card contradicts the Rules Reference, the card takes precedence; if both can be followed, both should be followed**. That rule is the foundation for almost every “card vs. base rules” interaction in the game. citeturn30view1turn31view0

The most important timing rules are compact but decisive. In TI4, **“when” abilities occur at the moment of the event and take priority over “after” abilities**; **“before/after”** windows resolve immediately adjacent to the event; **“then”** means the text before “then” must be resolved first or the later clause cannot be resolved; **“may”** makes a clause optional; and abilities on components that remain in play are otherwise mandatory unless they say “may.” If multiple abilities are to be resolved in the **action phase**, players resolve them in **initiative order beginning with the active player**; in the **strategy** or **agenda** phases, they resolve starting with the **speaker** and proceeding clockwise. citeturn30view1turn26view2

For combat and invasion windows, the most important procedural anchors are these. **Space Cannon Offense** occurs **after Move Ships** during a tactical action, beginning with the active player and then clockwise. **Space Cannon Defense** occurs only during the invasion on the invaded planet(s), not from adjacent systems. In **space combat**, “before combat” occurs immediately before Anti-Fighter Barrage, and in the **first** combat round the “start of combat” and “start of combat round” windows are the same window; likewise the “end of combat” and “end of combat round” windows merge in the last round. The active player is the **attacker**; a widely used official-rulings compendium notes that the attacker gets the first opportunity to resolve abilities in each combat timing window. citeturn26view4turn26view5turn26view3turn26view7turn27view0

The official support page shows that, by 2025, TI4 has **Codex I–IV**, **Prophecy of Kings**, **Thunder’s Edge**, and a **Codex 4.5 Technology Card Updates** file available as separate official materials. Because your prompt centers on heroes and the classic TI4 phase structure, this report **focuses on base game + Prophecy of Kings + Codex-era replacements only where the replacement text was directly retrievable**. It **does not attempt to fold Thunder’s Edge or Twilight’s Fall into the main catalogue** unless explicitly stated, and any card text not directly retrievable from the accessible sources is marked **“unspecified.”** citeturn31view0

## Scope and rules hierarchy

The official phase skeleton is unchanged: the game round proceeds through **strategy phase**, **action phase**, **status phase**, and—once Mecatol Rex has entered play politically—**agenda phase**. The Prophecy of Kings rulebook also provides a compact quick-reference sequence for the tactical action: **Activation → Movement → Space Cannon Offense → Space Combat → Invasion → Production**. The Living Rules Reference gives the legal details for how card windows plug into that skeleton. citeturn29view0turn30view3turn28view5

For timing analysis, the following hierarchy is the safest way to adjudicate abilities:

| Priority order | Rule |
|---|---|
| Highest | Card text overrides the Rules Reference if they contradict. citeturn30view1 |
| Next | “When” effects take priority over “after” effects. citeturn30view1turn26view2 |
| Next | “Cannot” is absolute; if two “cannot” abilities conflict with an enabling or cancel effect, persistent “cannot” beats one-time ability, and enabling beats cancel. citeturn30view1 |
| Next | In action-phase shared windows, resolve in initiative order starting with the active player. In strategy/agenda shared windows, start with the speaker and go clockwise. citeturn30view1 |
| Next | If a card says “then,” the earlier clause must resolve first. citeturn30view1 |
| Baseline | If a cost cannot be paid, the ability’s effect cannot be resolved. citeturn30view1 |

Two global action-card rules matter constantly. First, a card whose first paragraph begins **“Action:”** is a **component action** and can only be played during your turn in the action phase. Second, **multiple action cards with the same name cannot be played in a single timing window to affect the same units or the same game effect**; canceled cards are not treated as played. citeturn6view3turn26view9

## Master catalogue

The full card pool across base game, Prophecy of Kings, Codex updates, generic promissories, leaders, mechs, flagships, faction technologies, and unit upgrades is extremely large. To keep the report usable, the master catalogue below is split by component family and compresses some entries with identical timing structures into grouped rows. Wherever the accessible materials did not expose the full verified card text before token cutoff, the entry is marked **unspecified**.

Abbreviation key used in the tables: **O** optional, **M** mandatory, **Act** component action, **Int** interrupt or replacement “when”, **Resp** reactive “before/after”, **Cont** continuous, **Exh** exhaust, **Purge** one-shot purge.

### Core timing windows and generic action cards

| Card name | Type | Text | Trigger phase/step | Timing window | Effect summary | Opt./Mand. | Interaction notes | Rulebook citation | Example use-case |
|---|---|---|---|---|---|---|---|---|---|
| Sabotage | action | “When another player plays an action card other than ‘Sabotage’: Cancel that action card.” | Any legal action-card window | Int | Cancels a played action card | O | Canceled card is discarded and is not treated as played. citeturn6view3turn12view2 | Action cards 2.6–2.8. citeturn6view3turn26view9 | Cancel Coup d’Etat or Public Disgrace when played |
| Direct Hit | action | “After another player’s ship uses Sustain Damage to cancel a hit produced by your units or abilities: Destroy that ship.” | Combat, hit assignment / sustain-damage window | Resp | Punishes Sustain Damage | O | Can follow hits from abilities as well as standard combat; same-name card limit still applies. citeturn7view0turn6view0 | Abilities 1.13–1.20; FAQ. citeturn30view1turn26view1 | Opponent sustains a dreadnought hit; play Direct Hit |
| Shields Holding | action | “Before you assign hits to your ships during a space combat: Cancel up to 2 hits.” | Space combat, Assign Hits | Resp | Cancels two hits to your ships | O | May cancel hits produced by combat abilities like Ambush, Devotion, Dimensional Splicer. citeturn13view0turn6view0 | Space combat 78; FAQ. citeturn26view3turn26view1 | Prevents a two-hit volley before assigning |
| Skilled Retreat | action | “At the start of a combat round: Move all of your ships … combat ends in a draw … place a command token…” | Space combat, start of combat round | Resp | Exits the space combat | O | FAQ says it is **not** a retreat for Intercept and only applies at the start of a **space** combat round. citeturn13view0turn6view0 | Combat timing 78.2–78.3. citeturn26view3 | Defender escapes before dice are rolled |
| Emergency Repairs | action | “At the start or end of a combat round: Repair all of your units that have Sustain Damage in the active system.” | Space or ground combat round start/end | Resp | Repairs damaged units | O | Can be used in first round if units were damaged earlier in the action. citeturn12view1turn6view2 | Combat timing, Sustain Damage. citeturn26view3turn30view3 | Repair sustained dreadnoughts before next volley |
| Fighter Prototype | action | “At the start of the first round of a space combat…” | Space combat, first round start | Resp | +2 to your fighters this round | O | Same first-round window as “start of combat.” citeturn12view1turn26view3 | Combat timing 78.2. citeturn26view3 | Buff fighters before rolls |
| Rout | action | “At the start of the ‘Announce Retreats’ step of space combat, if you are the defender…” | Space combat, Announce Retreats | Resp | Forces attacker to announce retreat if able | O | Attacker/defender status matters. citeturn12view4turn27view0 | Space combat steps; Attacker/Defender. citeturn29view0turn27view0turn27view1 | Defender forces a disengagement |
| Waylay | action | “Before you roll dice for ANTI-FIGHTER BARRAGE: Hits from this roll are produced against all ships.” | Space combat, Anti-Fighter Barrage | Resp | Turns AFB into anti-ship fire | O | Resolves in the AFB window before dice. citeturn12view4 | Space combat 78.3. citeturn26view3 | Destroyers threaten cruisers, carriers, not just fighters |
| Bunker | action | “At the start of an invasion…” | Invasion, Bombardment setup | Resp | -4 to bombardment rolls against your planets this invasion | O | Applies during this invasion only. citeturn12view0 | Invasion step order. citeturn29view0 | Defending against bombardment-heavy attacker |
| Disable | action | “At the start of an invasion… opponents’ PDS lose Planetary Shield and Space Cannon during this invasion.” | Invasion, before Bombardment/Space Cannon Defense | Resp | Turns off defending PDS on invaded system | O | Disables both PS and Space Cannon for that invasion. citeturn12view1 | Invasion and Space Cannon Defense. citeturn29view0turn26view5 | Land on a PDS-protected world safely |
| Experimental Battlestation | action | “After another player moves ships into a system during a tactical action…” | Tactical action, after Move Ships / Space Cannon Offense window | Resp | A chosen space dock fires Space Cannon 5 (x3) | O | Official FAQ: same window as Space Cannon Offense; only against active player’s ships; cannot be used if no ships actually moved in. citeturn12view1turn6view2turn26view1 | Space Cannon Offense 77.2. citeturn26view4turn30view2 | Punish an incoming fleet after movement |
| Forward Supply Base | action | “After another player activates a system that contains your units…” | Tactical activation | Resp | Gain 3 TG; another player gains 1 TG | O | Straight reaction to activation. citeturn12view3 | Activation / action phase. citeturn29view0turn26view9 | Profit from being threatened |
